"UNISTR_CHR","UNISTR_TXT","HTML_ENTITY","NOTES"
"\D800\DC00","\D800\DC00","&#x10000;","LINEAR B SYLLABLE B008 A"
"\D800\DC01","\D800\DC01","&#x10001;","LINEAR B SYLLABLE B038 E"
"\D800\DC02","\D800\DC02","&#x10002;","LINEAR B SYLLABLE B028 I"
"\D800\DC03","\D800\DC03","&#x10003;","LINEAR B SYLLABLE B061 O"
"\D800\DC04","\D800\DC04","&#x10004;","LINEAR B SYLLABLE B010 U"
"\D800\DC05","\D800\DC05","&#x10005;","LINEAR B SYLLABLE B001 DA"
"\D800\DC06","\D800\DC06","&#x10006;","LINEAR B SYLLABLE B045 DE"
"\D800\DC07","\D800\DC07","&#x10007;","LINEAR B SYLLABLE B007 DI"
"\D800\DC08","\D800\DC08","&#x10008;","LINEAR B SYLLABLE B014 DO"
"\D800\DC09","\D800\DC09","&#x10009;","LINEAR B SYLLABLE B051 DU"
"\D800\DC0A","\D800\DC0A","&#x1000a;","LINEAR B SYLLABLE B057 JA"
"\D800\DC0B","\D800\DC0B","&#x1000b;","LINEAR B SYLLABLE B046 JE"
"\D800\DC0D","\D800\DC0D","&#x1000d;","LINEAR B SYLLABLE B036 JO"
"\D800\DC0E","\D800\DC0E","&#x1000e;","LINEAR B SYLLABLE B065 JU"
"\D800\DC0F","\D800\DC0F","&#x1000f;","LINEAR B SYLLABLE B077 KA"
"\D800\DC10","\D800\DC10","&#x10010;","LINEAR B SYLLABLE B044 KE"
"\D800\DC11","\D800\DC11","&#x10011;","LINEAR B SYLLABLE B067 KI"
"\D800\DC12","\D800\DC12","&#x10012;","LINEAR B SYLLABLE B070 KO"
"\D800\DC13","\D800\DC13","&#x10013;","LINEAR B SYLLABLE B081 KU"
"\D800\DC14","\D800\DC14","&#x10014;","LINEAR B SYLLABLE B080 MA"
"\D800\DC15","\D800\DC15","&#x10015;","LINEAR B SYLLABLE B013 ME"
"\D800\DC16","\D800\DC16","&#x10016;","LINEAR B SYLLABLE B073 MI"
"\D800\DC17","\D800\DC17","&#x10017;","LINEAR B SYLLABLE B015 MO"
"\D800\DC18","\D800\DC18","&#x10018;","LINEAR B SYLLABLE B023 MU"
"\D800\DC19","\D800\DC19","&#x10019;","LINEAR B SYLLABLE B006 NA"
"\D800\DC1A","\D800\DC1A","&#x1001a;","LINEAR B SYLLABLE B024 NE"
"\D800\DC1B","\D800\DC1B","&#x1001b;","LINEAR B SYLLABLE B030 NI"
"\D800\DC1C","\D800\DC1C","&#x1001c;","LINEAR B SYLLABLE B052 NO"
"\D800\DC1D","\D800\DC1D","&#x1001d;","LINEAR B SYLLABLE B055 NU"
"\D800\DC1E","\D800\DC1E","&#x1001e;","LINEAR B SYLLABLE B003 PA"
"\D800\DC1F","\D800\DC1F","&#x1001f;","LINEAR B SYLLABLE B072 PE"
"\D800\DC20","\D800\DC20","&#x10020;","LINEAR B SYLLABLE B039 PI"
"\D800\DC21","\D800\DC21","&#x10021;","LINEAR B SYLLABLE B011 PO"
"\D800\DC22","\D800\DC22","&#x10022;","LINEAR B SYLLABLE B050 PU"
"\D800\DC23","\D800\DC23","&#x10023;","LINEAR B SYLLABLE B016 QA"
"\D800\DC24","\D800\DC24","&#x10024;","LINEAR B SYLLABLE B078 QE"
"\D800\DC25","\D800\DC25","&#x10025;","LINEAR B SYLLABLE B021 QI"
"\D800\DC26","\D800\DC26","&#x10026;","LINEAR B SYLLABLE B032 QO"
"\D800\DC28","\D800\DC28","&#x10028;","LINEAR B SYLLABLE B060 RA"
"\D800\DC29","\D800\DC29","&#x10029;","LINEAR B SYLLABLE B027 RE"
"\D800\DC2A","\D800\DC2A","&#x1002a;","LINEAR B SYLLABLE B053 RI"
"\D800\DC2B","\D800\DC2B","&#x1002b;","LINEAR B SYLLABLE B002 RO"
"\D800\DC2C","\D800\DC2C","&#x1002c;","LINEAR B SYLLABLE B026 RU"
"\D800\DC2D","\D800\DC2D","&#x1002d;","LINEAR B SYLLABLE B031 SA"
"\D800\DC2E","\D800\DC2E","&#x1002e;","LINEAR B SYLLABLE B009 SE"
"\D800\DC2F","\D800\DC2F","&#x1002f;","LINEAR B SYLLABLE B041 SI"
"\D800\DC30","\D800\DC30","&#x10030;","LINEAR B SYLLABLE B012 SO"
"\D800\DC31","\D800\DC31","&#x10031;","LINEAR B SYLLABLE B058 SU"
"\D800\DC32","\D800\DC32","&#x10032;","LINEAR B SYLLABLE B059 TA"
"\D800\DC33","\D800\DC33","&#x10033;","LINEAR B SYLLABLE B004 TE"
"\D800\DC34","\D800\DC34","&#x10034;","LINEAR B SYLLABLE B037 TI"
"\D800\DC35","\D800\DC35","&#x10035;","LINEAR B SYLLABLE B005 TO"
"\D800\DC36","\D800\DC36","&#x10036;","LINEAR B SYLLABLE B069 TU"
"\D800\DC37","\D800\DC37","&#x10037;","LINEAR B SYLLABLE B054 WA"
"\D800\DC38","\D800\DC38","&#x10038;","LINEAR B SYLLABLE B075 WE"
"\D800\DC39","\D800\DC39","&#x10039;","LINEAR B SYLLABLE B040 WI"
"\D800\DC3A","\D800\DC3A","&#x1003a;","LINEAR B SYLLABLE B042 WO"
"\D800\DC3C","\D800\DC3C","&#x1003c;","LINEAR B SYLLABLE B017 ZA"
"\D800\DC3D","\D800\DC3D","&#x1003d;","LINEAR B SYLLABLE B074 ZE"
"\D800\DC3F","\D800\DC3F","&#x1003f;","LINEAR B SYLLABLE B020 ZO"
"\D800\DC40","\D800\DC40","&#x10040;","LINEAR B SYLLABLE B025 A2"
"\D800\DC41","\D800\DC41","&#x10041;","LINEAR B SYLLABLE B043 A3"
"\D800\DC42","\D800\DC42","&#x10042;","LINEAR B SYLLABLE B085 AU"
"\D800\DC43","\D800\DC43","&#x10043;","LINEAR B SYLLABLE B071 DWE"
"\D800\DC44","\D800\DC44","&#x10044;","LINEAR B SYLLABLE B090 DWO"
"\D800\DC45","\D800\DC45","&#x10045;","LINEAR B SYLLABLE B048 NWA"
"\D800\DC46","\D800\DC46","&#x10046;","LINEAR B SYLLABLE B029 PU2"
"\D800\DC47","\D800\DC47","&#x10047;","LINEAR B SYLLABLE B062 PTE"
"\D800\DC48","\D800\DC48","&#x10048;","LINEAR B SYLLABLE B076 RA2"
"\D800\DC49","\D800\DC49","&#x10049;","LINEAR B SYLLABLE B033 RA3"
"\D800\DC4A","\D800\DC4A","&#x1004a;","LINEAR B SYLLABLE B068 RO2"
"\D800\DC4B","\D800\DC4B","&#x1004b;","LINEAR B SYLLABLE B066 TA2"
"\D800\DC4C","\D800\DC4C","&#x1004c;","LINEAR B SYLLABLE B087 TWE"
"\D800\DC4D","\D800\DC4D","&#x1004d;","LINEAR B SYLLABLE B091 TWO"
"\D800\DC50","\D800\DC50","&#x10050;","LINEAR B SYMBOL B018"
"\D800\DC51","\D800\DC51","&#x10051;","LINEAR B SYMBOL B019"
"\D800\DC52","\D800\DC52","&#x10052;","LINEAR B SYMBOL B022"
"\D800\DC53","\D800\DC53","&#x10053;","LINEAR B SYMBOL B034"
"\D800\DC54","\D800\DC54","&#x10054;","LINEAR B SYMBOL B047"
"\D800\DC55","\D800\DC55","&#x10055;","LINEAR B SYMBOL B049"
"\D800\DC56","\D800\DC56","&#x10056;","LINEAR B SYMBOL B056"
"\D800\DC57","\D800\DC57","&#x10057;","LINEAR B SYMBOL B063"
"\D800\DC58","\D800\DC58","&#x10058;","LINEAR B SYMBOL B064"
"\D800\DC59","\D800\DC59","&#x10059;","LINEAR B SYMBOL B079"
"\D800\DC5A","\D800\DC5A","&#x1005a;","LINEAR B SYMBOL B082"
"\D800\DC5B","\D800\DC5B","&#x1005b;","LINEAR B SYMBOL B083"
"\D800\DC5C","\D800\DC5C","&#x1005c;","LINEAR B SYMBOL B086"
"\D800\DC5D","\D800\DC5D","&#x1005d;","LINEAR B SYMBOL B089"
"\D800\DC80","\D800\DC80","&#x10080;","LINEAR B IDEOGRAM B100 MAN"
"\D800\DC81","\D800\DC81","&#x10081;","LINEAR B IDEOGRAM B102 WOMAN"
"\D800\DC82","\D800\DC82","&#x10082;","LINEAR B IDEOGRAM B104 DEER"
"\D800\DC83","\D800\DC83","&#x10083;","LINEAR B IDEOGRAM B105 EQUID"
"\D800\DC84","\D800\DC84","&#x10084;","LINEAR B IDEOGRAM B105F MARE"
